month,cloud computing,mainframe,kubernetes
2004-01,0,73,0
2004-02,0,86,0
2004-03,0,84,0
2004-04,0,84,0
2004-05,0,75,0
2004-06,0,84,0
2004-07,0,93,0
2004-08,0,79,0
2004-09,0,100,0
2004-10,0,74,0
2004-11,0,59,0
2004-12,0,69,0
2005-01,0,66,0
2005-02,0,67,0
2005-03,0,72,0
2005-04,0,63,0
2005-05,0,57,0
2005-06,0,65,0
2005-07,0,57,0
2005-08,0,72,0
2005-09,0,65,0
2005-10,0,54,0
2005-11,0,57,0
2005-12,0,49,0
2006-01,0,51,0
2006-02,0,60,0
2006-03,0,52,0
2006-04,0,50,0
2006-05,0,49,0
2006-06,0,55,0
2006-07,0,50,0
2006-08,0,58,0
2006-09,0,59,0
2006-10,0,57,0
2006-11,0,53,0
2006-12,0,46,0
2007-01,0,48,0
2007-02,1,54,0
2007-03,1,46,0
2007-04,0,51,0
2007-05,0,50,0
2007-06,0,49,0
2007-07,0,51,0
2007-08,0,57,0
2007-09,0,54,0
2007-10,2,49,0
2007-11,2,44,0
2007-12,3,42,0
2008-01,4,43,0
2008-02,6,46,0
2008-03,6,40,0
2008-04,9,43,0
2008-05,11,43,0
2008-06,13,47,0
2008-07,22,45,0
2008-08,26,44,0
2008-09,23,50,0
2008-10,37,39,0
2008-11,34,40,0
2008-12,25,34,0
2009-01,30,39,0
2009-02,37,41,0
2009-03,48,37,0
2009-04,54,37,0
2009-05,45,38,0
2009-06,48,37,0
2009-07,50,41,0
2009-08,45,37,0
2009-09,55,39,0
2009-10,66,40,0
2009-11,68,36,0
2009-12,56,36,0
2010-01,63,35,0
2010-02,65,37,0
2010-03,78,36,0
2010-04,72,40,0
2010-05,69,38,0
2010-06,71,39,0
2010-07,67,39,0
2010-08,69,39,0
2010-09,76,39,0
2010-10,90,38,0
2010-11,87,31,0
2010-12,88,30,0
2011-01,88,32,0
2011-02,95,34,0
2011-03,97,31,0
2011-04,92,30,0
2011-05,87,29,0
2011-06,96,32,0
2011-07,83,30,0
2011-08,78,30,0
2011-09,94,32,0
2011-10,88,27,0
2011-11,93,29,0
2011-12,77,23,0
2012-01,82,24,0
2012-02,80,27,0
2012-03,80,24,0
2012-04,68,23,0
2012-05,64,24,0
2012-06,61,25,0
2012-07,62,26,0
2012-08,60,27,0
2012-09,64,28,0
2012-10,65,26,0
2012-11,54,21,0
2012-12,46,19,0
2013-01,53,22,0
2013-02,53,22,0
2013-03,53,23,0
2013-04,53,23,0
2013-05,46,21,0
2013-06,45,21,0
2013-07,46,20,0
2013-08,43,21,0
2013-09,49,23,0
2013-10,48,21,0
2013-11,45,20,0
2013-12,40,18,0
2014-01,43,20,0
2014-02,49,21,0
2014-03,47,20,0
2014-04,43,20,0
2014-05,40,20,0
2014-06,36,21,0
2014-07,40,20,1
2014-08,37,20,1
2014-09,46,23,1
2014-10,42,20,1
2014-11,41,20,2
2014-12,37,18,2
2015-01,37,19,1
2015-02,43,21,2
2015-03,42,21,2
2015-04,37,19,3
2015-05,35,18,3
2015-06,35,20,4
2015-07,33,20,4
2015-08,35,20,4
2015-09,40,21,5
2015-10,39,20,5
2015-11,37,18,5
2015-12,31,16,4
2016-01,33,17,5
2016-02,36,20,7
2016-03,35,19,8
2016-04,34,17,8
2016-05,33,19,9
2016-06,32,19,10
2016-07,28,18,10
2016-08,29,19,11
2016-09,33,21,13
2016-10,32,19,15
2016-11,34,18,17
2016-12,31,16,16
2017-01,32,18,18
2017-02,35,20,22
2017-03,35,19,25
2017-04,33,22,25
2017-05,39,22,26
2017-06,29,20,28
2017-07,30,19,29
2017-08,32,24,32
2017-09,33,22,33
2017-10,37,20,40
2017-11,38,19,42
2017-12,30,17,41
2018-01,31,19,45
2018-02,33,20,51
2018-03,32,19,54
2018-04,33,19,54
2018-05,31,19,63
